# ALMA_870
# energy
# ALMA_band_7 (0.8-1.1 mm)
#	Lambda	Transmission
	8000000 	1
	8050000		1
	8100000		1
	8150000 	1
	8200000 	1
	8250000	 	1
	8300000		1
	8350000		1
	8400000		1
	8450000		1
	8500000		1
	8550000		1
	8600000		1
	8650000		1
	8700000		1
	8750000		1
	8800000		1
	8850000		1
	8900000		1
	8950000		1
	9000000		1
	9050000		1
	9100000		1
	9150000		1
	9200000		1
	9250000		1
	9300000		1
	9350000		1
	9400000		1
	9450000		1
	9500000		1
	9550000		1
	9600000		1
	9650000		1
	9700000		1
	9750000		1
	9800000		1
	9850000		1
	9900000		1
	9950000		1
	10000000	1
	10050000	1	
	10100000	1
	10150000	1
	10200000	1
	10250000	1
	10300000	1
	10350000	1
	10400000	1
	10450000	1
	10500000	1
	10550000	1
	10600000	1
	10650000	1
	10700000	1
	10750000	1
	10800000	1
	10850000	1
	10900000	1
	10950000	1
	11000000	1
