# ALMA_3000
# energy
# ALMA_band_3 (2.6-3.6 mm)
#	Lambda	Transmission
	26000000        1
	26050000	1
	26100000	1
	26150000        1
	26200000        1
	26250000	1
	26300000	1
	26350000	1
	26400000        1
	26450000	1
	26500000	1
	26550000	1
	26600000	1
	26650000	1
	26700000	1
	26750000	1
	26800000	1
	26850000	1
	26900000	1
	26950000	1
	27000000	1
	27050000	1
	27100000	1
	27150000        1
	27200000	1
	27250000	1
	27300000	1
	27350000	1
	27400000	1
	27450000	1
	27500000	1
	27550000	1
	27600000	1
	27650000	1
	27700000	1
	27750000	1
	27800000	1
	27850000	1
	27900000	1
	27950000	1
	28000000	1
	28050000	1	
	28100000	1
	28150000	1
	28200000	1
	28250000	1
	28300000	1
	28350000	1
	28400000	1
	28450000	1
	28500000	1
	28550000	1
	28600000	1
	28650000	1
	28700000	1
	28750000	1
	28800000	1
	28850000	1
	28900000	1
	28950000	1
	29000000	1
	29050000	1	
	29100000	1
	29150000	1
	29200000	1
	29250000	1
	29300000	1
	29350000	1
	29400000	1
	29450000	1
	29500000	1
	29550000	1
	29600000	1
	29650000	1
	29700000	1
	29750000	1
	29800000	1
	29850000	1
	29900000	1
	29950000	1
	30000000	1
	30050000	1	
	30100000	1
	30150000	1
	30200000	1
	30250000	1
	30300000	1
	30350000	1
	30400000	1
	30450000	1
	30500000	1
	30550000	1
	30600000	1
	30650000	1
	30700000	1
	30750000	1
	30800000	1
	30850000	1
	30900000	1
	30950000	1
	31000000	1
	31050000	1	
	31100000	1
	31150000	1
	31200000	1
	31250000	1
	31300000	1
	31350000	1
	31400000	1
	31450000	1
	31500000	1
	31550000	1
	31600000	1
	31650000	1
	31700000	1
	31750000	1
	31800000	1
	31850000	1
	31900000	1
	31950000	1
	32000000	1
	32050000	1	
	32100000	1
	32150000	1
	32200000	1
	32250000	1
	32300000	1
	32350000	1
	32400000	1
	32450000	1
	32500000	1
	32550000	1
	32600000	1
	32650000	1
	32700000	1
	32750000	1
	32800000	1
	32850000	1
	32900000	1
	32950000	1
	33000000        1
	33050000	1	
	33100000	1
	33150000	1
	33200000	1
	33250000	1
	33300000	1
	33350000	1
	33400000	1
	33450000	1
	33500000        1
	33550000	1
	33600000	1
	33650000	1
	33700000	1
	33750000	1
	33800000	1
	33850000	1
	33900000	1
	33950000	1
	34000000	1
	34050000	1	
	34100000	1
	34150000	1
	34200000	1
	34250000	1
	34300000	1
	34350000	1
	34400000	1
	34450000	1
	34500000	1
	34550000	1
	34600000	1
	34650000	1
	34700000	1
	34750000	1
	34800000	1
	34850000	1
	34900000	1
	34950000	1
	35000000	1
	35050000	1	
	35100000	1
	35150000	1
	35200000	1
	35250000	1
	35300000	1
	35350000	1
	35400000	1
	35450000	1
	35500000	1
	35550000	1
	35600000	1
	35650000	1
	35700000	1
	35750000	1
	35800000	1
	35850000	1
	35900000	1
	35950000	1
	36000000	1
