# Aztec_1100
# energy
# AzTEC-1.1mm
#         Lambda    Transmission
        8088497.0000            0.000087
        8099084.0000            0.000413
        8109699.0000            0.000583
        8120341.5000            0.000628
        8131012.5000            0.001004
        8141711.0000            0.001207
        8152438.0000            0.000946
        8163193.0000            0.001152
        8173976.5000            0.001454
        8184788.5000            0.001648
        8195629.5000            0.001653
        8206499.0000            0.001063
        8217397.5000            0.000909
        8228325.0000            0.001009
        8239281.0000            0.001326
        8250267.0000            0.001560
        8261282.0000            0.001358
        8272326.5000            0.001429
        8283400.5000            0.001639
        8294504.5000            0.001966
        8305638.0000            0.002267
        8316801.5000            0.001970
        8327995.0000            0.001683
        8339218.5000            0.001949
        8350472.5000            0.001928
        8361757.0000            0.001510
        8373072.0000            0.001589
        8384418.0000            0.001727
        8395794.0000            0.002319
        8407201.0000            0.003828
        8418640.0000            0.004251
        8430109.0000            0.003807
        8441610.0000            0.003574
        8453143.0000            0.003288
        8464706.0000            0.003302
        8476302.0000            0.004093
        8487929.0000            0.004442
        8499588.0000            0.004214
        8511279.0000            0.004356
        8523003.0000            0.003854
        8534759.0000            0.003454
        8546547.0000            0.003395
        8558368.0000            0.003264
        8570222.0000            0.003828
        8582108.0000            0.004164
        8594028.0000            0.004371
        8605981.0000            0.004561
        8617967.0000            0.004216
        8629986.0000            0.003943
        8642039.0000            0.003768
        8654126.0000            0.003801
        8666247.0000            0.003672
        8678402.0000            0.003461
        8690590.0000            0.003301
        8702813.0000            0.003197
        8715071.0000            0.003571
        8727363.0000            0.004152
        8739690.0000            0.004987
        8752051.0000            0.005442
        8764448.0000            0.005552
        8776880.0000            0.005300
        8789347.0000            0.004659
        8801849.0000            0.004460
        8814388.0000            0.004692
        8826962.0000            0.005290
        8839572.0000            0.005794
        8852218.0000            0.006094
        8864900.0000            0.006186
        8877619.0000            0.005678
        8890374.0000            0.005657
        8903166.0000            0.005865
        8915995.0000            0.006196
        8928860.0000            0.007706
        8941763.0000            0.008571
        8954704.0000            0.009560
        8967682.0000            0.010919
        8980697.0000            0.010345
        8993750.0000            0.009955
        9006842.0000            0.009142
        9019971.0000            0.007804
        9033139.0000            0.008221
        9046345.0000            0.008837
        9059590.0000            0.010001
        9072874.0000            0.011517
        9086197.0000            0.012941
        9099559.0000            0.014416
        9112961.0000            0.015473
        9126402.0000            0.015960
        9139882.0000            0.015685
        9153403.0000            0.015333
        9166963.0000            0.015192
        9180564.0000            0.016527
        9194206.0000            0.019173
        9207887.0000            0.023263
        9221610.0000            0.028461
        9235373.0000            0.032484
        9249178.0000            0.035941
        9263024.0000            0.037962
        9276912.0000            0.038022
        9290841.0000            0.037569
        9304812.0000            0.037220
        9318826.0000            0.039623
        9332881.0000            0.046344
        9346979.0000            0.057147
        9361120.0000            0.070779
        9375303.0000            0.082235
        9389530.0000            0.088717
        9403800.0000            0.090181
        9418113.0000            0.086536
        9432470.0000            0.082675
        9446871.0000            0.080946
        9461315.0000            0.081906
        9475804.0000            0.090044
        9490338.0000            0.102819
        9504916.0000            0.115966
        9519539.0000            0.128219
        9534207.0000            0.134453
        9548920.0000            0.136974
        9563679.0000            0.142934
        9578483.0000            0.154644
        9593334.0000            0.177442
        9608230.0000            0.213234
        9623173.0000            0.255970
        9638162.0000            0.305843
