#LABOCA_870
#energy
#LABOCA-870mum
#         Lambda    Transmission
        6009056.5000            0.003247
        6049658.0000            0.003067
        6090260.0000            0.003009
        6130861.5000            0.003110
        6171463.0000            0.003437
        6212065.0000            0.003857
        6252666.5000            0.004081
        6293268.5000            0.004121
        6333870.0000            0.004203
        6374472.0000            0.004331
        6415073.5000            0.004464
        6455675.5000            0.004727
        6496277.0000            0.005040
        6536878.5000            0.005061
        6577480.5000            0.004893
        6618082.0000            0.004968
        6658684.0000            0.005180
        6699286.0000            0.005056
        6739887.5000            0.004746
        6780489.5000            0.004729
        6821091.0000            0.004966
        6861692.5000            0.005274
        6902294.5000            0.005917
        6942896.0000            0.007028
        6983498.0000            0.007793
        7024100.0000            0.007660
        7064701.5000            0.007452
        7105303.0000            0.007660
        7145905.0000            0.007901
        7186506.5000            0.008312
        7227108.0000            0.009614
        7267710.0000            0.011320
        7308311.5000            0.012038
        7348913.5000            0.012330
        7389515.5000            0.013384
        7430117.0000            0.013908
        7470718.5000            0.013420
        7511320.5000            0.014611
        7551922.0000            0.018741
        7592524.0000            0.022126
        7633125.5000            0.023357
        7673727.0000            0.029053
        7714329.5000            0.039047
        7754931.0000            0.041367
        7795532.5000            0.044001
        7836134.5000            0.091244
        7876736.0000            0.226861
        7917338.0000            0.440645
        7957939.5000            0.653759
        7998541.0000            0.785119
        8039143.0000            0.826213
        8079745.0000            0.821525
        8120346.5000            0.805118
        8160948.5000            0.790641
        8201550.0000            0.796463
        8242151.5000            0.839061
        8282753.5000            0.909163
        8323355.0000            0.972708
        8363956.5000            1.000000
        8404558.0000            0.986594
        8445160.0000            0.944160
        8485762.0000            0.890027
        8526364.0000            0.846655
        8566966.0000            0.832407
        8607567.0000            0.848128
        8648169.0000            0.878508
        8688771.0000            0.904528
        8729372.0000            0.911720
        8769974.0000            0.892746
        8810576.0000            0.851529
        8851178.0000            0.804312
        8891780.0000            0.770279
        8932381.0000            0.758842
        8972983.0000            0.764626
        9013585.0000            0.771963
        9054186.0000            0.765292
        9094788.0000            0.737883
        9135390.0000            0.693234
        9175992.0000            0.640811
        9216593.0000            0.591228
        9257195.0000            0.552723
        9297797.0000            0.528837
        9338398.0000            0.517574
        9379000.0000            0.511938
        9419602.0000            0.502608
        9460204.0000            0.482536
        9500806.0000            0.450639
        9541407.0000            0.412221
        9582009.0000            0.375968
        9622611.0000            0.349149
        9663212.0000            0.332664
        9703814.0000            0.319393
        9744416.0000            0.299203
        9785018.0000            0.268598
        9825620.0000            0.234213
        9866221.0000            0.204996
        9906823.0000            0.183555
        9947425.0000            0.166959
        9988026.0000            0.152272
       10028627.0000            0.138634
       10069229.0000            0.126257
       10109831.0000            0.115511
       10150433.0000            0.106670
       10191035.0000            0.099463
       10231636.0000            0.092937
       10272238.0000            0.086240
       10312840.0000            0.079116
       10353441.0000            0.071486
       10394043.0000            0.063387
       10434645.0000            0.055502
       10475246.0000            0.048746
       10515849.0000            0.043224
       10556450.0000            0.038505
       10597052.0000            0.034676
       10637654.0000            0.032106
       10678255.0000            0.030440
       10718857.0000            0.028755
       10759459.0000            0.026749
       10800060.0000            0.025036
       10840662.0000            0.023995
       10881264.0000            0.023035
       10921866.0000            0.021529
       10962467.0000            0.019693
       11003069.0000            0.017956
       11043671.0000            0.016087
       11084273.0000            0.013615
       11124874.0000            0.010868
       11165476.0000            0.008946
       11206078.0000            0.008506
       11246680.0000            0.009047
       11287281.0000            0.009492
       11327883.0000            0.009206
       11368485.0000            0.008295
       11409087.0000            0.007119
       11449688.0000            0.005886
       11490290.0000            0.004877
       11530892.0000            0.004645
       11571494.0000            0.005286
       11612095.0000            0.005818
       11652697.0000            0.005165
       11693299.0000            0.003409
       11733900.0000            0.001628
       11774502.0000            0.000780
       11815104.0000            0.000875
       11855706.0000            0.001186
       11896307.0000            0.000932
